GUEST,SITE_URL,Introduction,Response,Acting Person,,Second Mentioned,Action,5 Love Languages (deprecate),
Niraj Shah,https://www.joincolossus.com/episodes/73227114/shah-developing-every-skill?tab=transcript,"My guest today is Niraj Shah, the CEO and co-founder of Wayfair. Wayfair started life in 2002 as a collection of independent websites selling category-specific home furniture, but became a one-stop-shop for the home category in 2011 when at 500 million in sales the team consolidated their 240 websites into wayfair.com. Today, the business offers 22 million products from 16,000 suppliers to more than 30 million customers. During our conversation, we discuss how the competitive frontiers in e-commerce have changed, what it was like to build out a proprietary logistics operation, and what makes the home goods market more attractive than other physical goods markets. Please enjoy this great conversation with Niraj Shah.","Patrick, I've listened to your podcast. And so I would say that I'm aware of you asking that question and I was thinking about my answer before this. And unfortunately, I have to say my is going to prove to not be a novel one because, as I've heard many folks credit the kind of support and encouragement that their parents gave them and I've heard many folks do the same with regards to their spouse, those are the same folks I would go to. And my parents were super supportive when I told them I did not want to attend graduate school and I wanted to be an entrepreneur, which my parents were first generation immigrants from India and education was the de-risk path to success. Graduate school was a step on that journey and I chose not to do that. And obviously hindsight, whatever. It worked out just fine, but they were very supportive. They never even blinked an eye and that was the whole experience through my youth. And then my wife is an amazing person, we've been married 18 years. And I have to say similarly, entirely supportive, including sometimes a personal sacrifice of her. So I have to say that I don't have a novel answer for you, but that's my answer, and I'm happy with it.",Parents,,Wife,Support,Acts of Service,
Will Marshall,https://www.joincolossus.com/episodes/14029498/marshall-indexing-the-earth?tab=transcript,"My guest today is Will Marshall, the co-founder and CEO of Planet. Will founded Planet in 2010 with a small team of NASA scientists to build a constellation of satellites that would image the entire earth every day. Since then, Planet has successfully built and deployed 450 satellites into space, which the company is using to create a time series of images for every place on earth. Our conversation covers the untold space story. How space is going through an internet moment where cost reductions and performance enhancements have led to a seismic shift in what's possible above our atmosphere and how that can drastically improve life on earth through unique data sets like the one Planet's piecing together. Once you listen to Will speak about Planet's progress and mission, it's hard to think of a more underappreciated company in business today. Please enjoy this great conversation with Will Marshall.","I should think about that more, but the first thing that comes to my mind is mentorship. I've had some incredible mentors that helped to guide me to where I am today. My PhD supervisor last year won the Nobel Prize in physics. He was an amazing guide. My head boss at NASA who helped me to understand space systems and laws and give me a lot of freedom, and I think of people that have mentored me, that was a gift.",Boss,,PhD Advisor,Mentorship,Acts of Service,
Roelof Botha,https://www.joincolossus.com/episodes/66371765/botha-sequoias-crucible-moment?tab=transcript,"My guest today is Roelof Botha, a partner at one of the world's oldest and most successful venture firms, Sequoia Capital. A few days ago, before I sat down with Roelof, he announced Sequoia's boldest innovation since the firm was founded by Don Valentine in the early 1970s. Going forward, the firm will break from the traditional VC mold of fund cycles and instead, restructure around a single open-ended permanent structure named the Sequoia Fund. In our conversation, we first discussed the details of this change from all different angles and then dive into Roelof's career. We talk about what's changed over the past 20 years, his days at PayPal, what legendary investors he's worked with have had in common, and what he's learned from being involved in businesses like Square, YouTube and Udemy. Please enjoy this great conversation with Roelof Botha.",The kindest thing is my wife forgiving me for my numerous mistakes.,Wife,,,Forgiveness,Acts of Service,
Sarah Friar,https://www.joincolossus.com/episodes/99036602/friar-building-the-local-graph?tab=transcript,"My guest today is Sarah Friar, the CEO of Nextdoor, which connects people in local neighborhoods together. Sarah's CV sparkles with impressive achievements and interesting businesses. And we spent a lot of time in this conversation thinking through what excellence looks like as a CEO, CFO, equity analyst and board member. The rest of our discussion is focused on Nextdoor and how the soon to be public business is fostering connections between people and businesses in their local areas. I do this podcast so I get to meet and learn from people like Sarah. I could have talked to her for hours. I hope you enjoy this great conversation with Sarah Friar as much as I did.","I love that you've asked this question. I feel like I now need to have a great answer, I don’t want to blow your horn. I was thinking back on this, because I know that you ask this question. And so, it took me all the way back to growing up in Northern Ireland. And when the first bomb went off in our local village, I grew up in this really small little village of about 1200 people. The local police barracks got blown up and it took out all the windows in the back of our house. We didn't live a particularly big house, all the windows in the back, my bedroom, the dining room, the kitchen, all the windows blew in. So, there's glass everywhere. And it had been a pretty traumatizing day because I had been in primary school. So, I was probably about 10 and we'd all had to shelter on our desks.The bomb finally went off the glass. There came in around us. It almost makes me cheerful thinking back on it. But what was amazing in terms of an act of kind is the minute we walked in the front door and my mom picked us up from work, our neighbors came in, took a look and they went back out and they had figured out where they could go by plywood. And my dad wasn't super handy so we were very grateful for this. They came in and they boarded up all our windows. And I remember Marcella, the mom bringing us hot food cause our kitchen was a disaster. But what made that really poignant is the whole divide in Northern Ireland was religious. And we were Protestant and our door neighbors are Catholic. And so, technically we were meant to hate each other. That's why people were blowing up things. And yet the fact that kindness that they just came that night, I just have such a sense of warmth still because it was a brutal like a day you never forget in your life. That family still lives next door to my mom and dad. They still show amazing kindness to us, but that night really sticks with me.",Neighbor,,,Help in time of need,Acts of Service,
Alex Rampell,https://www.joincolossus.com/episodes/90737874/rampell-investing-in-operating-systems?tab=transcript,"Our guest today is Alex Rampell, a general partner at Andreessen Horowitz. Alex has a long history in FinTech, having co-founded six companies in his career, including Affirm and TrialPay. During our conversation, we cover Alex's framework for positive selection in investing, why the best investments are often operating system or systems of record, and Alex's views on the future of FinTech. For those that have listened to our Business Breakdown on Visa with Alex, you know the intellectual horsepower that he brings to every conversation and this conversation is no exception. Please enjoy my great conversation with Alex Rampell.","Too many to list. I would definitely have to go with my parents, for creating me. So that's a very kind thing. But there's not just one case. But there are so many examples in Silicon Valley where I live, where you just go email somebody out of the blue; they'll spend time with you, they'll help you. Because it's really not zero sum; this isn't... As an entrepreneur, you're not trying to figure out some arbitrage investment theory that somebody else is going to go steal from you, like in the way that hedge funds might not share ideas like this with each other. Maybe they do. I don't know. But I mentioned, Max Levchin and I started the firm together. And that actually started when, I think I literally blind emailed him, saying, ""Hey. I like you. I like your history of what you've done. Why don't we meet to do this thing?"" And many brainstorms later, we ended up becoming friends, and doing this.But there are so many examples like that, where I was able to, I wouldn't call it punch above my weight class, because I wasn't punching above anything. I think it's that line of Death of a Salesman, ""I relied on the kindness of strangers"" to really situate me here, because I moved here in 2004. I knew nobody. I moved here because my wife kind of talked me into it. I was from Florida. I didn't want to move to California. And then, just a lot of kindness of strangers allowed me to meet some really incredible people, get some great ideas, and advanced my thinking. But I would have never gotten there, had I not just taken the initiative, but more importantly, had people not actually responded to my little easily deletable spam emails.",Parents,,Stranger,Took a chance,Acts of Service,
Carlos Brito,https://www.joincolossus.com/episodes/24275137/brito-creating-an-ownership-culture?tab=transcript,"My guest today is Carlos Brito, CEO of Anheuser-Busch InBev. AB InBev is the world's largest brewer of beer and maintains a portfolio of hundreds of beer brands across the globe. Our conversation focuses on AB InBev's culture of ownership, how Carlos balances organic growth with acquisitions, and how he and his team manage disruption as an industry incumbent. I loved hearing about Carlos' story from growing up in Brazil, to now running one of the largest businesses in the world. I hope you enjoy my conversation with Carlos Brito.
So Carlos, when I first heard your story it was at a charitable event that my wife helped put on called REACH Prep, here in Connecticut. And I was so interested in your personal story that while I don't normally start with someone's personal story, I think in this case I'd love to do so.","Carlos: [00:55:20] People that bet on me. People that believe that I could go places and decided to bet on me. I've always had mentors throughout my life and I always tell people when I go to colleges, again to recruit, if there was a really important thing in life is to have a great mentor. As you progress, you'll have different mentors. But to have great mentors, people that are willing to they're truly interested in your success and they are willing to take the risk to tell you in a constructive, respectful way what you need to hear, this is invaluable.And if you find people that are interested in your success and willing to tell you what you need to hear, this is gold because most people are afraid of telling you what you need to hear because they don't have that kind of relationship with you or they're not really interested in your success because they're afraid of competition because they have a role, whatever. So people that are great mentors, their goal, they're really good. But I think the kindest thing is really my family and the people that put up with me every day. At home, my wife and kids, my parents, I mean, they're the kindest people on earth.",Mentor,,,Took a chance,Acts of Service,
Nick Neuman,https://www.joincolossus.com/episodes/73084963/neuman-becoming-your-own-bank?tab=transcript,"My guest today is Nick Neuman, CEO and co-founder of Casa. Casa helps Bitcoin investors and owners keep their digital assets safe from loss or theft by providing managed self custody services. In our discussion, we cover the history of asset custody, from ancient temples to decentralized ledgers, look at the mechanics of how private keys work, and explore why people are better off holding the keys themselves. We then dive deep into the future of digital wallets as gateways into our virtual lives, what's interesting about identity authentication more broadly, and whether these innovations may lead to unintended consequences. Please enjoy this great conversation with Nick Neuman.","[01:01:44] It's funny because I've been listening to your podcast for years. And every time you ask this question, I'm like, ""Man, so many people in my life have done nice things for me. How would I answer this question?"" And here we are. I actually have to think about how I want to answer it. I'll answer it like this. I've had a lot of people do a lot of nice things for me in my life, and I don't think I could pick the one king of it all. But one thing that stood out to me was the fact that I actually started my career in finance. I did investment banking and then moved into private equity. And I was on this track to make a lot of money, frankly. But I really didn't like the job and it was pretty soul-sucking for me. I wanted to be building something instead. And when my wife married me, I was in finance on this track to make us a lot of money. And when I wanted to quit, I talked to her about it and she was super supportive of me taking literally a 50% pay cut to go work a random job at a start-up in operations, just because I wanted to be building something.

And that obviously started me on the train that got me to being CEO and co-founder of Casa and building something that can have real impact around the world. Her initial support of me and giving me that push to do something that I was really passionate about, even though it affected both of us financially and was a little bit of a risk from a perspective of is this even going to be a solid job was huge. That changed the course of our life together.",Wife,,,Support,Acts of Service,
Jenny Lefcourt,https://www.joincolossus.com/episodes/38318717/lefcourt-the-go-to-market-motion?tab=transcript,"My guest today is Jenny Lefcourt, general partner at seed-stage venture firm, Freestyle Capital. Jenny has been ingrained in the tech world since the early days of the internet. She dropped out of her Stanford MBA program to co-found online wedding registry startup, weddingchannel.com and she has stayed on the entrepreneurship path ever since. During our conversation, we covered Jenny's investment frameworks, why she believes that deep understanding of the customer is key for founder success, and what makes great go-to-market strategies. We also touched on some of Jenny's favorite market themes around technology, the aging population, the future of work, and the growing low-code/no-code movement. Please enjoy my conversation with Jenny Lefcourt.","[00:59:00] I don't know if this will be seen as kind, but it was really, really kind. One of my mentors, Jerry Held, saw me as a working mom with three kids come out of a really tough... my second startup that I did, we had a rough couple of years, and when I got out of it, we got together and he said, ""What are you going to do next?"" And I said, ""Jerry, I'm really enjoying just being with my kids for a few months. I'm thinking maybe I'm not going back.""And he really stuck his neck out and said, ""You're really good at what you do, you light up in the room, you love what you do."" He's older than I am. He's like, ""I see how this movie plays out. You'll be more interesting to yourself, your husband, your kids, you're going to be happier."" And I was fighting him, so it would have been easy for him to just say, ""Okay, okay, okay."" I was like, ""No, no, no, my kids need me, blah, blah, blah,"" and he really put his neck out and said, ""I would argue in the moment, the unpopular thing."" He was right.Once it sank in, I took my self, came back out, and you can hear that I love what I do so very much, and you heard me when we were talking earlier, it really impacts my relationship with my kids, my husband, etc. Jerry Held was right. And the kind thing was, and I try to do this with all the people I work with, is really challenge other people, because it's easy to cheer, and we all have cheerleaders, and it's the path of least resistance, but the way I try to show up as investors, the way he showed up for me, which is if I can open up your world and let you see things a little bit different that's better, that's the kindest thing.",Mentor,,,Mentorship,Words of Affirmation,
Jay Hoag,https://www.joincolossus.com/episodes/80028950/hoag-calibrating-market-adoption?tab=transcript,"My guest today is Jay Hoag, co-founder of TCV. If you look at Jay's investment track record, it's a who's who of tech giants with Airbnb, Netflix, Peloton, Zillow, and the list that does not stop there. Needless to say, Jay has a hall of fame career. During our conversation, we talk about his own journey founding TCV, what advice he has visionaries and why he sees advantages for private to public crossover investors. Jay has such a wealth of experience that is on display throughout this episode. Please enjoy this fantastic conversation with Jay Hoag.","Jay: [01:09:52] There are many on the list. I'm going to probably over answer the question, I'll try to be brief per. Generally speaking, I have to say, my mom is the kindest person. Always provided a warm environment to come home from school in, and by the way that this was in outside Chicago and little town in Wisconsin, and there was nothing technology involved. That support was critical. The second personal one is my wife saying, ""Yes,"" 31 years ago. She is the best person I know, and I way over achieved, so that is good. She looked kindly upon me at the time. And then I would say, actually started working when I was 11, there was a woman that hired me, Mrs. Gunnerson, when I was a young kid to work 20 hours a week, which helped install a good work ethic. Guy named Dick Strong, who gave me my first office job in 1981 in Milwaukee, the Strong, Cornelius and Funds at the time, my professor Dave [Brophy] of Michigan, as I was kind of wandering aimlessly through my business school career, after wandering aimlessly through my undergrad career, got me interested in investments.",Mother,,Wife,Support,Acts of Service,
David Fialkow,https://www.joincolossus.com/episodes/48136535/fialkow-paint-outside-the-lines?tab=transcript,"Our guest today is David Fialkow, co-founder of General Catalyst. If you're looking for a dose of fun, charismatic energy from a very unique investor, then this is the conversation for you. David has a diverse background not only as an investor, but also as a philanthropist and filmmaker. He won an Academy Award for his role as the producer of the 2018 documentary Icarus. During our conversation, David and I dive into what makes a great founder, the importance of storytelling and the value of effectively convening people within your network. After listening to all his great stories, I think you'll see why David has so much fun and success helping founders. Please enjoy my great conversation with David Fialkow.","[00:53:37] Oh, wow. Well, I think the kindest thing anybody's ever done is Nina Singh, who I met when she was 17, when she was a freshman at Carnegie Mellon, but didn't marry me until 10 or 12 years later. She believed in me when there wasn't a lot to believe in. And I think had to be kindness because it certainly wasn't intelligence. You know what I mean? I think that sometimes the most basic things are the things that matter the most. Being super happily married and having a partner and a friend in life like Nina has been extraordinary. I mean, she's my film partner too. She's a brilliant filmmaker. I would have never, ever made Icarus or certainly ever won The Academy Award were it not for Nina coaching me on how to do it. I had some skill myself, but I wouldn't have been able to accomplish it at that level. And Nina's ability to keep me and others focused on the social mission of social justice, just an amazing thing.We did The Vow with great filmmakers from others, Karim, Jehane made the show with us, and it's a story about this cult in upstate New York, the NXIVM Cult and the way that Nina does things is she normally produced the film with Karim and Jehane, but then she made sure that the despicable founder of NXIVM, this guy, Keith Raniere got prosecuted and he's doing 99 years in jail with no parole. It wasn't good enough to make a really good series, we had to follow it through to the nth degree because our mission is not making great films, it's making great films that tell you something you need to know that leads to action and social justice. And what could it be better than taking a bad hombre and throwing him in the slammer for 99 years? So, that purity to mission has been an incredible guiding principle. So, that was one of the kindest things.The second thing is, interesting, it's this guy that I brought up twice named Jim Swartz, who Accel, is another venture firm. They are good friends of ours, but they compete with us. I don't think a lot of the decisions that I would have been able to make, I would have made without Jim's guidance and wisdom, even though he didn't have to do it. He runs another firm, but he did it. I thought that was amazing, and he's also the great part. What I'm always touched by is, there's so many people that have been helpful to me. I have such a non-jaded view of the world that way. I would have never, ever been successful ever, ever been able to do a lot of things I've done if it weren't for the kindness and generosity of people. Sometimes deserving, sometimes I wasn't, but it was through that, and by the way, that's empowered me to try to live my mission of doing the things that you and I've just talked about. Yeah, pay it forward. And you know what? It is through the effort of others.First of all, I have two isms that matter to me. One is that adversity does not teach character, reveals it. The other one is, no one's spared. Everybody has bad shit that goes on in their lives, their marriages, their kids, their friendships, their businesses, everything. Any of us that have such a pollyanna, that that isn't going to happen, or hasn't happened. It's just dead wrong. What you want is the ability to say, ""Hey, this happened. Help me."" And have people around you that have the empathy, and what that does is it builds up this sense that there's a common good of being able to be there for others. So if I were to take what people have done for me, which answers your question and say, ""Okay, how do I pay it forward?"" And make GC a firm that has at its core, the fact that we need to have empathy and understanding for that journey of founders. It's a pretty good role.",Wife,,,Marriage,Acts of Service,
